removed_count,fraction_removed,random_failure_mean_gcc_fraction,random_failure_std_gcc_fraction,degree_attack_gcc_size,degree_attack_gcc_fraction,betweenness_attack_gcc_size,betweenness_attack_gcc_fraction
25,0.27472527472527475,0.6469230769230769,0.014113911821136431,56,0.6153846153846154,53,0.5824175824175825
26,0.2857142857142857,0.6363736263736263,0.014323234282796431,55,0.6043956043956044,52,0.5714285714285714
27,0.2967032967032967,0.6260439560439562,0.014689844603427666,54,0.5934065934065934,51,0.5604395604395604
28,0.3076923076923077,0.6164835164835165,0.01526362522326452,53,0.5824175824175825,50,0.5494505494505495
29,0.31868131868131866,0.6061538461538462,0.015120708747655892,50,0.5494505494505495,49,0.5384615384615384
30,0.32967032967032966,0.5953846153846157,0.014848828001400156,49,0.5384615384615384,48,0.5274725274725275
31,0.34065934065934067,0.5861538461538462,0.015321055454153463,48,0.5274725274725275,47,0.5164835164835165
32,0.3516483516483517,0.5758241758241762,0.015383029587014454,47,0.5164835164835165,46,0.5054945054945055
33,0.3626373626373626,0.565934065934066,0.015735807326953916,46,0.5054945054945055,45,0.4945054945054945
34,0.37362637362637363,0.5563736263736269,0.016355741117731935,45,0.4945054945054945,44,0.4835164835164835
35,0.38461538461538464,0.5460439560439564,0.01715934269416487,44,0.4835164835164835,43,0.4725274725274725
36,0.3956043956043956,0.5360439560439566,0.01750315132655563,43,0.4725274725274725,42,0.46153846153846156
37,0.4065934065934066,0.5262637362637367,0.017455348916252195,42,0.46153846153846156,41,0.45054945054945056
38,0.4175824175824176,0.5161538461538464,0.017564023567495552,41,0.45054945054945056,40,0.43956043956043955
39,0.42857142857142855,0.5068131868131869,0.018031775856236568,40,0.43956043956043955,39,0.42857142857142855
40,0.43956043956043955,0.49725274725274715,0.018439470607308994,39,0.42857142857142855,38,0.4175824175824176
41,0.45054945054945056,0.4872527472527471,0.018027716626262152,38,0.4175824175824176,37,0.4065934065934066
42,0.46153846153846156,0.477472527472527,0.017488859195787642,37,0.4065934065934066,36,0.3956043956043956
43,0.4725274725274725,0.467362637362637,0.017633334533169343,36,0.3956043956043956,34,0.37362637362637363
44,0.4835164835164835,0.45780219780219716,0.01747804519172044,35,0.38461538461538464,33,0.3626373626373626
45,0.4945054945054945,0.44780219780219754,0.016993623975368608,34,0.37362637362637363,31,0.34065934065934067
46,0.5054945054945055,0.437582417582417,0.017349157559554153,33,0.3626373626373626,30,0.32967032967032966
47,0.5164835164835165,0.42758241758241733,0.01739935503071329,31,0.34065934065934067,29,0.31868131868131866
48,0.5274725274725275,0.41769230769230714,0.017566801256765678,30,0.32967032967032966,27,0.2967032967032967
49,0.5384615384615384,0.4078021978021975,0.0169591351676388,29,0.31868131868131866,26,0.2857142857142857
50,0.5494505494505495,0.39857142857142813,0.016444991424905502,28,0.3076923076923077,25,0.27472527472527475
51,0.5604395604395604,0.3890109890109886,0.016749618834444615,27,0.2967032967032967,24,0.26373626373626374
52,0.5714285714285714,0.3792307692307688,0.016930340825943063,23,0.25274725274725274,23,0.25274725274725274
53,0.5824175824175825,0.3685714285714281,0.01663415828198609,22,0.24175824175824176,22,0.24175824175824176
54,0.5934065934065934,0.3587912087912084,0.01706525179114994,21,0.23076923076923078,21,0.23076923076923078
55,0.6043956043956044,0.349560439560439,0.017016577679943228,19,0.2087912087912088,20,0.21978021978021978
56,0.6153846153846154,0.3399999999999996,0.017519868762387928,18,0.1978021978021978,19,0.2087912087912088
57,0.6263736263736264,0.32923076923076877,0.01738708233088467,14,0.15384615384615385,17,0.18681318681318682
58,0.6373626373626373,0.31912087912087866,0.017387082330884655,13,0.14285714285714285,15,0.16483516483516483
59,0.6483516483516484,0.3097802197802194,0.01643311939056476,12,0.13186813186813187,13,0.14285714285714285
60,0.6593406593406593,0.29999999999999966,0.016118729684023912,12,0.13186813186813187,11,0.12087912087912088
61,0.6703296703296703,0.2901098901098898,0.016749618834444598,10,0.10989010989010989,10,0.10989010989010989
62,0.6813186813186813,0.2807692307692305,0.016109267558357305,7,0.07692307692307693,9,0.0989010989010989
63,0.6923076923076923,0.2709890109890107,0.016097526798253173,7,0.07692307692307693,6,0.06593406593406594
64,0.7032967032967034,0.2615384615384613,0.015462120234757102,7,0.07692307692307693,3,0.03296703296703297
65,0.7142857142857143,0.2516483516483513,0.014858682329219509,6,0.06593406593406594,2,0.02197802197802198
66,0.7252747252747253,0.2416483516483512,0.014775949372786206,5,0.054945054945054944,1,0.01098901098901099
67,0.7362637362637363,0.23197802197802148,0.014808933284298043,4,0.04395604395604396,1,0.01098901098901099
68,0.7472527472527473,0.22230769230769185,0.014639938413305532,4,0.04395604395604396,1,0.01098901098901099
69,0.7582417582417582,0.2127472527472523,0.014860324081871266,2,0.02197802197802198,1,0.01098901098901099
70,0.7692307692307693,0.20230769230769194,0.015070205912063223,2,0.02197802197802198,1,0.01098901098901099
71,0.7802197802197802,0.19318681318681283,0.014832389572801169,1,0.01098901098901099,1,0.01098901098901099
72,0.7912087912087912,0.18307692307692275,0.014248523530550193,1,0.01098901098901099,1,0.01098901098901099
