network,percentile,tau,edges,density,n_components,gcc_size,gcc_pct,mean_degree
V,60,0.8944271909999159,1650,0.40293040293040294,18,73,80.21978021978022,36.26373626373626
V,62,0.8994423874286827,1556,0.37997557997557996,19,72,79.12087912087912,34.1978021978022
V,64,0.9051401784799707,1474,0.35995115995115995,20,72,79.12087912087912,32.395604395604394
V,66,0.9114654303753001,1398,0.3413919413919414,21,71,78.02197802197803,30.725274725274726
V,68,0.9163419338230354,1312,0.3203907203907204,21,71,78.02197802197803,28.835164835164836
V,70,0.9192388155425119,1233,0.3010989010989011,22,70,76.92307692307693,27.0989010989011
V,72,0.9237604307034014,1156,0.2822954822954823,22,70,76.92307692307693,25.406593406593405
V,74,0.9287906526814261,1065,0.2600732600732601,22,70,76.92307692307693,23.406593406593405
V,76,0.9331569498236164,1003,0.24493284493284492,25,67,73.62637362637363,22.043956043956044
V,78,0.9385534789244493,901,0.22002442002442002,29,62,68.13186813186813,19.802197802197803
V,80,0.9428090415820631,829,0.20244200244200244,32,59,64.83516483516483,18.21978021978022
V,82,0.9441175904999112,750,0.18315018315018314,34,57,62.637362637362635,16.483516483516482
V,84,0.9477582044145478,661,0.16141636141636143,39,51,56.043956043956044,14.527472527472527
V,86,0.9493857663422881,594,0.14505494505494507,42,49,53.84615384615385,13.054945054945055
V,88,0.9555555555555557,495,0.12087912087912088,42,49,53.84615384615385,10.87912087912088
V,90,0.9622504486493763,420,0.10256410256410256,46,43,47.25274725274725,9.23076923076923
V,92,0.9622504486493764,409,0.09987789987789988,46,43,47.25274725274725,8.989010989010989
V,94,0.9673742068828898,246,0.060073260073260075,51,37,40.65934065934066,5.406593406593407
V,96,0.9819805060619655,165,0.040293040293040296,64,22,24.175824175824175,3.6263736263736264
V,98,0.9917790736823158,88,0.02148962148962149,74,13,14.285714285714285,1.934065934065934
