degree_threshold_k,nodes_with_degree_gt_k,observed_phi,null_phi_mean,null_phi_std,normalized_phi,empirical_p_one_sided,null_realizations,swaps_per_null_min
48,51,0.9623529411764706,0.948418300653595,0.002196110627923295,1.0146925048929072,0.03225806451612903,30,4096
49,50,0.9657142857142857,0.9525170068027211,0.0024071810240125506,1.0138551635480646,0.03225806451612903,30,4096
50,46,0.9826086956521739,0.9670209339774556,0.002376610240998566,1.0161193632185441,0.03225806451612903,30,4096
51,44,0.9915433403805497,0.9740662438336856,0.0030502712271732184,1.017942410649689,0.03225806451612903,30,4096
52,43,0.9933554817275747,0.976375046142488,0.003358130868566564,1.017391304347826,0.03225806451612903,30,4096
53,41,0.998780487804878,0.9823983739837396,0.0036188389203616242,1.0166756320602477,0.03225806451612903,30,4096
54,41,0.998780487804878,0.9823983739837396,0.0036188389203616242,1.0166756320602477,0.03225806451612903,30,4096
55,40,0.9987179487179487,0.9842307692307692,0.0033693557892847683,1.0147192913898657,0.03225806451612903,30,4096
56,39,0.9986504723346828,0.9858749437696807,0.0033758350966018175,1.0129585690819491,0.03225806451612903,30,4096
57,38,1.0,0.9870554765291608,0.003531083213637638,1.0131142815967717,0.03225806451612903,30,4096
58,36,1.0,0.9889417989417987,0.0036928712754296395,1.0111818522283456,0.03225806451612903,30,4096
59,35,1.0,0.990140056022409,0.0036856937475426127,1.0099581305873033,0.03225806451612903,30,4096
60,34,1.0,0.9909685086155674,0.004132518093025751,1.0091138026142223,0.06451612903225806,30,4096
61,30,1.0,0.9948659003831416,0.003118507426976855,1.005160594623739,0.12903225806451613,30,4096
62,30,1.0,0.9948659003831416,0.003118507426976855,1.005160594623739,0.12903225806451613,30,4096
63,28,1.0,0.9946208112874777,0.0030665908071262444,1.0054082808759643,0.12903225806451613,30,4096
64,26,1.0,0.9951794871794871,0.0036748778110949057,1.0048438627228693,0.25806451612903225,30,4096
65,24,1.0,0.9958937198067634,0.0036522241521284894,1.004123211253941,0.3225806451612903,30,4096
66,21,1.0,0.9969841269841269,0.003642335696462166,1.0030249960197422,0.5161290322580645,30,4096
67,20,1.0,0.9968421052631576,0.003810387941055753,1.003167898627244,0.5161290322580645,30,4096
68,17,1.0,0.9977941176470587,0.003427144115436746,1.0022107590272662,0.7096774193548387,30,4096
69,13,1.0,0.9991452991452993,0.003252668355159763,1.0008554319931564,0.9354838709677419,30,4096
70,11,1.0,1.0,0.0,1.0,1.0,30,4096
71,6,1.0,1.0,0.0,1.0,1.0,30,4096
72,6,1.0,1.0,0.0,1.0,1.0,30,4096
73,5,1.0,1.0,0.0,1.0,1.0,30,4096
74,2,1.0,1.0,0.0,1.0,1.0,30,4096
